"from","to","arrow.size","from.x","from.y","to.x","to.y"
"RLaC","USP",0.1,4.1107196818346,-3.57131270367673,0.100948205016044,0.628319169499503
"RLaC","UEM",0.1,4.1107196818346,-3.57131270367673,6.47118123141746,-3.35607023771447
"RLaC","Universidade Luterana do Brasil/RS",0.1,4.1107196818346,-3.57131270367673,6.32260191399959,-4.61524101536463
"RLaC","UNESP",0.1,4.1107196818346,-3.57131270367673,2.93121005273292,-4.9212669701119
"RLaC","Embrapa",0.1,4.1107196818346,-3.57131270367673,5.68422838695665,-2.66418127473529
"RLaC","Environment Agency/Austria",0.1,4.1107196818346,-3.57131270367673,5.37296291927462,-5.01519285570833
"RLaC","Universidad de la Republica/Uruguai",0.1,4.1107196818346,-3.57131270367673,4.15714530211705,-5.27458326603177
"RLaC","Universidad Nacional de Mar del Plata/Argentina",0.1,4.1107196818346,-3.57131270367673,3.47987661428797,-5.86619747010511
"RLaC","University of Kiel/Alemanha",0.1,4.1107196818346,-3.57131270367673,4.84687249624285,-5.87009795342941
"RLaC","Goethe Universität Frankfurt/Alemanha",0.1,4.1107196818346,-3.57131270367673,5.71587163830482,-3.93245971457251
"TAMS","ICMBio",0.1,2.44006565402452,4.84803499385567,3.29860050626674,3.1996421080951
"TAMS","USP",0.1,2.44006565402452,4.84803499385567,0.100948205016044,0.628319169499503
"TAMS","CEPENE",0.1,2.44006565402452,4.84803499385567,4.27834504380897,5.87420906432915
"TAMS","Ibama",0.1,2.44006565402452,4.84803499385567,3.23959814390539,6.85528581549935
"TAMS","UFC",0.1,2.44006565402452,4.84803499385567,4.04890479804106,6.74195842629492
"TAMS","UFRPE",0.1,2.44006565402452,4.84803499385567,2.53490433398097,7.29576944790823
"TAMS","UESC",0.1,2.44006565402452,4.84803499385567,1.81374237710099,6.75639471868977
